brand,model,counts
Aston Martin,DB,1
Aston Martin,Lagonda,1
Aston Martin,Volante,2
Aston Martin,Cygnet,9
Audi,200,3
Audi,80,2
Audi,V8,5
Audi,SQ3,2
Bentley,Brooklands,2
BMW,315,2
BMW,725,3
BMW,728,4
BMW,2002,2
BMW,223,5
Bugatti,Divo,2
Chevrolet,2500,1
Chevrolet,Impala,1
Chevrolet,Chevy Van,8
Chevrolet,Caprice,1
Chevrolet,Cavalier,1
Chevrolet,Malibu,8
Chevrolet,Trans Sport,6
Chevrolet,Alero,3
Chevrolet,Evanda,4
Chevrolet,Rezzo,8
Chevrolet,SSR,7
Chevrolet,Colorado,3
Chevrolet,Equinox,4
Chevrolet,Volt,6
Chevrolet,Traverse,3
Chevrolet,Bolt,2
Citroen,2CV,7
Citroen,Evasion,3
Citroen,LNA,4
Citroen,Xantia,3
Citroen,C15,6
Citroen,SM,2
Citroen,C35,3
Citroen,Traction,7
Citroen,E-Méhari,7
Citroen,E-C4 Electric,5
Ferrari,Enzo Ferrari,2
Ferrari,456,8
Ferrari,512,1
Ferrari,Superamerica,9
Ferrari,Scuderia Spider 16M,3
Ferrari,Monza,2
Ferrari,SF90 Spider,2
Ford,Express,1
Ford,Expedition,8
Ford,Econoline,1
Ford,F 350,9
Ford,Escort,3
Ford,Taurus,3
Ford,Windstar,3
Ford,Thunderbird,5
Ford,Cougar,9
Ford,Courier,2
Ford,Crown,3
Ford,Freestyle,1
Ford,Flex,8
Ford,Connect Elekto,8
Ford,Gran Torino,4
Ford,F 650,1
Jeep,Willys,2
Jeep,Wagoneer,7
Mercedes-Benz,SL 380,1
Mercedes-Benz,SL 450,1
Mercedes-Benz,SLK 32 AMG,9
Mercedes-Benz,MB 100,1
Mercedes-Benz,Actros,2
Mercedes-Benz,C 30 AMG,2
Mercedes-Benz,300,6
Mercedes-Benz,400,1
Mercedes-Benz,600,3
Mercedes-Benz,E 290,2
Mercedes-Benz,E 420,4
Mercedes-Benz,SL 280,5
Mercedes-Benz,420,1
Mercedes-Benz,450,1
Mercedes-Benz,E 230,10
Mercedes-Benz,S 280,3
Mercedes-Benz,V 280,1
Mercedes-Benz,ML 230,3
Mercedes-Benz,SL 300,4
Mercedes-Benz,E 36 AMG,4
Mercedes-Benz,S 300,9
Mercedes-Benz,ML 430,9
Mercedes-Benz,270,3
Mercedes-Benz,CL 65 AMG,4
Mercedes-Benz,CL 180,1
Mercedes-Benz,CL 230,1
Mercedes-Benz,R 63 AMG,4
Mercedes-Benz,CL 220,2
Mercedes-Benz,S 550,5
Mercedes-Benz,CLK 430,9
Mercedes-Benz,CL 200,4
Mercedes-Benz,GLK 300,9
Mercedes-Benz,ML 450,5
Mercedes-Benz,SLK 300,10
Mercedes-Benz,S 250,4
Mercedes-Benz,CE 220,2
Mercedes-Benz,CL 160,1
Mercedes-Benz,G 290,2
Mercedes-Benz,GL 55 AMG,1
Mercedes-Benz,170,5
Mercedes-Benz,T1,1
Mercedes-Benz,G 300,4
Mercedes-Benz,E 550,3
Mercedes-Benz,CLS 280,10
Mercedes-Benz,B Electric Drive,8
Mercedes-Benz,G 280,2
Mercedes-Benz,GL 400,4
Mercedes-Benz,GLS 450,4
Mercedes-Benz,CL 320,4
Mercedes-Benz,S 680,4
Mercedes-Benz,EQA 300,2
Mercedes-Benz,S 560 E,1
Nissan,Trade,1
Nissan,Silvia,3
Nissan,Frontier,2
Nissan,Kubistar,5
Nissan,Maxima,4
Nissan,Serena,2
Nissan,Vanette,2
Nissan,King Cab,7
Nissan,Titan,10
Nissan,Skyline,4
Nissan,Armada,1
Nissan,Cube,7
Nissan,Altima,1
Opel,Rocks-e,4
Opel,Combo-e Life,1
Opel,Combo-e,2
Peugeot,806,4
Peugeot,204,2
Peugeot,301,5
Porsche,356,1
Porsche,968,1
Porsche,912,1
Porsche,930,1
Renault,R 6,1
Renault,R 11,8
Renault,R 18,4
Renault,R 19,1
Renault,R 9,10
Renault,Rapid,3
Renault,Symbol,1
Renault,Logan,1
Renault,Fluence Z.E.,4
Rolls-Royce,Corniche,4
Rolls-Royce,Phantom Drophead,6
SEAT,Inca,3
SEAT,Leon e-Hybrid,7
Skoda,120,2
Skoda,Pick up,1
Skoda,Felicia,2
Skoda,105,4
Skoda,130,2
Skoda,Praktik,8
Tesla,Others,1
Tesla,Roadster,3
Toyota,4-Runner,3
Toyota,Picnic,3
Toyota,Previa,8
Toyota,HDJ,2
Toyota,Sequoia,3
Toyota,Crown,5
Toyota,Avalon,1
Toyota,Land Cruiser Prado,7
Toyota,Mark II,1
Toyota,Venza,3
Toyota,Aristo,1
Toyota,Coaster,6
Toyota,Tacoma,4
Toyota,Matrix,2
Volkswagen,Taro,1
Volkswagen,T4 Allstar,2
Volkswagen,T3 Blue Star,1
Volkswagen,T3,1
Volkswagen,Bus,1
Volkswagen,Käfer,10
Volkswagen,T2,3
Volkswagen,T5 Shuttle,6
Volkswagen,Routan,1
Volkswagen,T1,1
Volkswagen,Polo Sedan,2
Volkswagen,Cross Golf,8
Volkswagen,Polo Plus,6
Volkswagen,Polo Variant,5
Volkswagen,Polo R WRC,6
Volkswagen,T3 Caravelle,2
Volkswagen,Atlas,5
Volkswagen,Kever,1
Volvo,360,1
Volvo,S70,3
Volvo,S60 Cross Country,8
