,,price,price,price,power,power,power,mileage,mileage,mileage,fuelConsumption,fuelConsumption,fuelConsumption,age,age,age
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
brand,model,,,,,,,,,,,,,,,
Aston Martin,Cygnet,48609.77777777778,41990,55950,98.0,98.0,98.0,47286.333333333336,5565.0,85000.0,5.1000000000000005,4.9,5.2,9.777777777777779,8,11
Aston Martin,DB,62000.0,62000,62000,455.0,455.0,455.0,62000.0,62000.0,62000.0,16.3,16.3,16.3,14.0,14,14
Aston Martin,DB11,183518.42253521126,139000,289000,563.6176470588235,510.0,639.0,13939.81690140845,20.0,59900.0,10.816363636363628,8.2,13.5,2.971830985915493,0,6
Aston Martin,DB7,54070.90625,39000,89500,420.21875,416.0,441.0,60473.8125,6052.0,126445.0,18.995652173913047,14.8,19.9,20.15625,18,22
Aston Martin,DB9,71390.97142857143,37999,375000,460.3333333333333,450.0,547.0,55466.752380952385,415.0,161728.0,16.402083333333323,11.8,18.8,14.82857142857143,4,18
Aston Martin,DBS,255801.62,99888,561900,635.8979591836735,517.0,726.0,19199.42,35.0,88520.0,14.029999999999998,12.3,18.8,5.82,0,16
Aston Martin,DBX,217527.02040816325,178007,333000,557.625,549.0,707.0,6666.040816326531,1.0,25000.0,12.673076923076923,7.0,16.9,0.9387755102040817,0,2
Aston Martin,Lagonda,1000000.0,1000000,1000000,560.0,560.0,560.0,5150.0,5150.0,5150.0,12.5,12.5,12.5,4.0,4,4
Aston Martin,Others,373531.4583333333,58850,2289000,540.9565217391304,385.0,760.0,17519.458333333332,30.0,57700.0,13.920000000000002,10.3,17.0,4.625,0,14
Aston Martin,Rapide,107780.85416666667,59999,249900,526.6666666666666,476.0,639.0,43103.354166666664,2775.0,139500.0,14.475757575757573,12.9,16.4,8.0625,2,13
Aston Martin,V8,112380.73469387754,39500,239900,454.45360824742266,385.0,534.0,30980.030612244896,50.0,125000.0,13.046969696969686,8.5,18.7,7.26530612244898,0,16
Aston Martin,Vanquish,232430.10294117648,67890,1308000,522.875,457.0,605.0,29906.45588235294,29.0,143000.0,15.92857142857142,12.8,21.0,13.058823529411764,2,21
Aston Martin,Vantage,155501.09580838322,38900,1490000,466.9079754601227,379.0,628.0,34726.86826347305,1.0,144368.0,13.299999999999997,8.5,17.5,7.610778443113772,0,22
Aston Martin,Virage,116502.93333333333,89000,139990,494.53333333333336,477.0,498.0,31731.733333333334,11366.0,124000.0,16.225,15.0,18.8,10.066666666666666,9,11
Aston Martin,Volante,238990.0,158000,319980,625.0,525.0,725.0,17550.0,7100.0,28000.0,,,,6.5,2,11
Audi,200,47626.666666666664,29900,62990,200.0,200.0,200.0,46875.333333333336,51.0,105875.0,,,,2.6666666666666665,1,6
Audi,80,7000.0,6500,7500,125.0,125.0,125.0,199275.5,169370.0,229181.0,9.0,9.0,9.0,22.0,22,22
Audi,90,32908.055555555555,15500,50490,181.72727272727272,90.0,193.0,69307.61111111111,17500.0,223000.0,,,,4.777777777777778,2,8
Audi,A1,17573.589613034623,2999,69990,102.12087067861715,69.0,256.0,66781.56429844665,0.0,311711.0,4.686099825885072,1.0,98.0,5.145366598778004,0,12
Audi,A2,3300.1769230769232,990,7450,78.44961240310077,61.0,110.0,197578.57692307694,76250.0,397000.0,5.455140186915885,3.0,6.1,19.615384615384617,10,22
Audi,A3,17309.816975060337,550,115980,131.12732793522267,12.0,400.0,111036.03077232502,0.0,436000.0,5.029883416607165,1.0,99.0,7.5150844730490745,0,22
Audi,A4,19554.21963562753,795,104900,162.2212047212047,8.0,450.0,132689.7467611336,0.0,499531.0,5.618264308980895,2.0,13.5,8.143724696356275,0,22
Audi,A4 allroad,34547.255319148935,7990,69990,209.62959794696323,136.0,286.0,84915.04170212767,1.0,379000.0,5.7004926108374505,2.0,11.2,4.419574468085107,0,17
Audi,A5,29059.8649563011,5000,79990,193.85475651189128,90.0,2930.0,94366.94981674655,1.0,435789.0,5.539449838187735,1.0,10.8,5.808570623061742,0,15
Audi,A6,27541.16236345581,550,108904,211.24918932402096,1.0,721.0,130202.6588877855,1.0,980000.0,5.855510675129863,1.2,99.9,7.00571002979146,0,22
Audi,A6 allroad,41456.07302533532,990,105550,255.8435171385991,163.0,349.0,101121.88971684054,1.0,550000.0,6.364586846543,4.4,13.8,5.2727272727272725,0,22
Audi,A7,48568.99306930693,12900,124013,271.2587064676617,163.0,605.0,82848.04653465346,1.0,342100.0,5.984059633027518,1.2,9.8,4.881188118811881,0,12
Audi,A8,57014.32989690721,2800,149580,317.6770833333333,179.0,571.0,99757.51202749141,0.0,1999989.0,6.793464052287612,1.9,14.8,6.143184421534937,0,22
Audi,Allroad,23790.866666666665,1950,82490,236.16666666666666,163.0,349.0,163266.23333333334,8526.0,400000.0,8.58148148148148,5.7,13.2,12.266666666666667,1,22
Audi,Cabriolet,12800.8,5800,26990,154.33333333333334,90.0,220.0,158042.2,32800.0,240000.0,7.127272727272729,5.7,10.4,14.8,4,22
Audi,Coupe,53164.94736842105,9990,194220,408.875,200.0,829.0,85286.1052631579,30.0,224000.0,7.8,6.0,9.0,7.947368421052632,4,15
Audi,Others,60873.206896551725,2799,168900,238.59285714285716,90.0,620.0,37548.910344827586,0.0,294000.0,5.812903225806451,4.0,13.1,2.5517241379310347,0,21
Audi,Q2,27163.139784946237,12999,48900,127.76669675090253,1.0,300.0,42368.34318996416,0.0,278000.0,5.053750000000057,0.0,55.0,2.556899641577061,0,6
Audi,Q3,28920.572976054733,9999,84500,153.8783433994823,11.0,400.0,69683.52380952382,0.0,1321065.0,5.507576265504545,1.4,11.2,4.540193842645382,0,11
Audi,Q4 e-tron,71291.60223048327,30490,85990,208.6315789473684,95.0,300.0,4641.483146067416,0.0,22931.0,10.5,4.5,16.5,0.5985130111524164,0,2
Audi,Q5,35599.34251530328,6490,84999,195.06696553656485,110.0,367.0,88178.3324986088,0.0,370000.0,5.805886221637586,1.6,60.0,5.0370061213133,0,14
Audi,Q7,51112.935858277335,5500,135000,276.9968632371393,16.0,507.0,107664.5901038485,1.0,1280000.0,6.7495798319327305,0.0,13.6,5.819181429444105,0,17
Audi,Q8,88398.44994840042,53995,169900,297.2904255319149,16.0,600.0,43938.27141382869,1.0,173000.0,6.722128174123404,1.0,13.7,2.1651186790505674,0,4
Audi,QUATTRO,48413.846153846156,30400,65990,269.25,152.0,568.0,41695.769230769234,12000.0,161600.0,5.918181818181818,4.5,7.4,3.3076923076923075,1,11
